127.0.0.1 - - [09/Apr/2020:14:28:25 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:28:25 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/wimpopup.html HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:28:25 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/image/window_object_1.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:28:25 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:28:37 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/wimpopup.html HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:28:37 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/images/window_object_1.jpg HTTP/1.1" 200 54459
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:31:45 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/wimpopup.html HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:31:51 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/wimpopup.html HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:38:04 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/wimpopup.html HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:38:42 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/wimpopup.html HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:44:20 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:44:26 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:44:26 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/winpopup.html HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:44:43 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:44:43 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/winpopup.html HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:45:41 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:45:41 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/winpopup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:46:08 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:46:16 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:47:09 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:47:09 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/winpopup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:47:25 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:47:51 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:48:44 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:48:44 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/winpopup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:48:49 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:14:48:57 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:11:52 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob2.html HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:11:52 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/winpopup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:14:31 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:15:42 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob2.html HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:15:42 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/winpopup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:26 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob2.html HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:26 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/winpopup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:23:41 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:28:09 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob2.html HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:28:10 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/winpopup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:29:38 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:43:22 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob3.html HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:44:13 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob3.html HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:45:21 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob3.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:51:57 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:51:58 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/winpopup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:52:14 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob1.html HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:07:27 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/win_ob4.html HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:13:18 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/scr_ob1.html HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:14:20 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/scr_ob1.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:16:26 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/scr_ob1.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:17:01 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/scr_ob1.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:28:28 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/location.html HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:29:35 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/location.html HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:29:43 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:31:21 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/location.html HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:34:33 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/location.html HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:37:23 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/location.html HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:37:35 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:37:41 +0900] "GET /javascript/4%EA%B0%9D%EC%B2%B4/location.html HTTP/1.1" 304 -
